File size in kB,Write speed in MB/s
1,0.191131592
2,0.38051796
3,0.591483116
4,0.71225071
5,0.981162071
6,1.10132122
7,1.365054131
8,1.574803352
9,1.823338509
10,1.893939018
11,2.168769836
12,2.42326355
13,2.531152725
14,2.68817234
15,2.832325935
16,2.936857224
17,3.093158722
18,3.348214149
19,3.693623543
20,3.799391747
21,3.983307838
22,4.05604744
23,4.478193283
24,4.411765099
25,4.522431374
26,4.836309433
27,5.323344231
28,5.255255699
29,5.800000191
30,5.822981834
31,6.14104557
32,6.201550484
33,6.475667
34,6.70347023
35,6.628787994
36,6.746626854
37,7.215288162
38,7.016247749
39,7.286995888
40,7.418397903
41,8.058176041
42,8.190327644
43,8.046406746
44,8.785942078
45,8.574695587
46,8.620689392
47,9.024577141
48,9.273570061
49,9.224397659
50,9.498479843
51,10.15127373
52,9.21985817
53,9.505021095
54,10.30534363
55,10.00727844
56,10.68702316
57,10.8282671
58,10.46176052
59,10.21468163
60,10.24590206
61,6.641985893
62,10.77885914
63,11.84210491
64,12.10287476
65,11.47598839
66,11.99127865
67,10.93342018
68,12.30101299
69,9.244373322
70,9.552401543
71,11.7705574
72,13.17715931
73,13.14841461
74,12.93706322
75,14.05547237
76,13.03155041
77,13.73038483
78,13.50415516
79,14.00709248
80,13.92757702
81,14.75947475
82,14.81213856
83,14.47001362
84,15.19536877
85,15.4433136
86,15.05602264
87,15.31690121
88,15.82733822
89,15.53770924
90,16.54411793
91,16.75257778
92,16.22002792
93,16.60714245
94,16.66666698
95,16.67837048
96,17.09401703
97,17.52167606
98,17.88321209
99,16.54411793
100,13.57220459
101,17.55910969
102,18.31896591
103,18.1082983
104,18.78612709
105,17.95485592
106,20.04538536
107,18.09878254
108,19.65065479
109,21.05873299
110,21.08895683
111,20.07959461
112,20.83333302
113,19.59084606
114,20.68214798
115,21.61654091
116,21.70658684
117,20.77414799
118,22.014925
119,20.43269253
120,22.12389374
121,22.84743214
122,21.78571415
123,22.67699146
124,22.72727299
125,23.39071846
126,21.90542412
127,24.08952999
128,20.72538853
129,22.80763817
130,24.62121201
131,22.77468681
132,22.98050117
133,22.31543636
134,24.24023151
135,23.83474541
136,23.61111069
137,22.01156807
138,25.21929836
139,23.86675835
140,23.55316257
141,13.95486927
142,22.93281651
143,22.88732433
144,26.27737236
145,26.30624104
146,26.8382349
147,25.34482765
148,26.31578922
149,26.60714245
150,26.9784174
151,27.315485
152,28.74432659
153,25.70564556
154,29.34451199
155,27.173913
156,19.7568388
157,26.62822247
158,28.1339035
159,27.52770042
160,27.06359959
161,23.78841591
162,28.84615421
163,29.19054413
164,29.710145
165,30.42035389
166,30.92399406
167,30.12265491
168,29.08587265
169,27.86939335
170,31.81137753
171,30.97826099
172,32.57575798
173,31.66178608
174,28.50589752
175,32.16911793
176,33.08270645
177,31.51709366
178,32.10678196
179,33.00147533
180,33.33333302
181,30.2473259
182,20.45863342
183,17.29024982
184,30.66666698
185,32.1627264
186,31.76229477
187,33.77890205
188,31.20849895
189,32.72160625
190,32.98611069
191,33.2520895
192,33.19502068
193,32.73405743
194,31.69934654
195,21.80232525
196,21.24891567
197,33.0093832
198,32.2265625
199,34.12208462
200,33.37783718
201,32.00636959
202,33.93817234
203,35.34122562
204,36.221591
205,27.173913
206,35.46831989
207,35.73895073
208,35.51912594
209,34.74069118
210,34.35863876
211,36.37931061
212,35.81081104
213,33.65992451
214,36.64383602
215,37.12016582
216,37.08791256
217,36.60593796
218,38.38028145
219,37.75862026
220,35.07653046
221,37.03083134
222,35.44061279
223,37.51682377
224,30.27027035
225,36.86107445
226,38.96551704
227,38.71077728
228,41.72767162
229,40.71834946
230,37.63088989
231,39.44672108
232,39.56343746
233,36.31546116
234,40.2892561
235,39.74966145
236,38.76478291
237,40.30612278
238,41.14799404
239,39.41292858
240,39.89361668
241,40.0598402
242,39.59424114
243,40.99190331
244,44.98525047
245,41.95205498
246,42.5311203
247,39.53264999
248,44.5402298
249,44.97832394
250,43.46314335
251,43.8198328
252,44.74431801
253,41.72163582
254,45.03546143
255,42.05145073
256,43.53741455
257,42.89052105
258,44.05737686
259,43.39812374
260,43.33333302
261,40.67955112
262,21.68874168
263,44.66711998
264,47.07560635
265,43.18774414
266,43.75
267,44.79865742
268,46.20689678
269,43.38709641
270,48.77167606
271,43.93644619
272,46.83195591
273,47.66061497
274,43.91025639
275,50.10932922
276,47.98330975
277,45.80026436
278,46.83288383
279,48.23651409
280,48.74651814
281,42.1668663
282,48.22161388
283,49.06379986
284,50.14124298
285,46.26623344
286,50.07002831
287,48.28398418
288,50.84745789
289,49.48630142
290,51.49147701
291,46.63461494
292,49.93160057
293,52.02414799
294,49.52830219
295,47.82749653
296,41.43337059
297,49.23740005
298,53.13837337
299,50.64363098
300,50.2008028
301,44.68527317
302,49.08972645
303,48.68251896
304,51.28205109
305,52.80470943
306,53.94922447
307,44.41550922
308,52.6675787
309,44.49884796
310,52.79291534
311,53.62068939
312,53.94190884
313,54.49164391
314,53.91483498
315,55.93039799
316,53.30634308
317,57.0965414
318,56.62393188
319,55.69134045
320,53.47593594
321,57.81700325
322,53.1002636
323,56.38966465
324,56.32823372
325,57.2183094
326,53.4776907
327,53.92480183
328,56.62983418
329,56.56808758
330,55.29490662
331,58.93874645
332,57.88005543
333,61.2132349
334,53.59435177
335,56.74119282
336,56
337,58.99859905
338,56.40854454
339,56.5
340,57.90190697
341,54.50767231
342,53.5714283
343,59.13793087
344,56.50459957
345,61.87230968
346,61.08757019
347,57.37433815
348,61.78977299
349,59.35374165
350,62.58941364
351,62.5
352,60.10928917
353,56.862113
354,46.52996826
355,59.64381695
356,60.54421806
357,60.87994576
358,60.80163002
359,62.67458057
360,48.49137974
361,54.63075066
362,60.33333302
363,60.17904472
364,52.11912918
365,47.87513161
366,64.16549778
367,63.18870544
368,61.91117096
369,62.07940769
370,63.18305969
371,65.78014183
372,63.69863033
373,62.16666698
374,65.29329586
375,64.12448692
376,65.00691605
377,63.51078129
378,64.11126232
379,66.25874138
380,63.58768368
381,59.235075
382,58.73308754
383,60.22012615
384,66.11570263
385,63.65740776
386,59.6415329
387,65.90599442
388,64.75300407
389,66.42759609
390,64.06044674
391,56.437644
392,66.03773594
393,65.58745003
394,65.40504646
395,66.81326103
396,69.32773113
397,68.54281807
398,65.11780071
399,66.58878517
400,65.87615299
401,56.76670456
402,52.61780071
403,68.35142517
404,70.43235683
405,59.34935474
406,62.96526051
407,69.21768665
408,67.37120247
409,69.36906338
410,67.61213684
411,69.70827675
412,67.5853014
413,69.38844109
414,71.875
415,66.33631706
416,71.62534428
417,60.19053078
418,65.80604553
419,70.02005386
420,67.48071957
421,65.29156303
422,73.0609417
423,46.58590317
424,73.40720177
425,69.17317677
426,71.76549911
427,73.51928329
428,71.81208038
429,70.93253994
430,65.87009811
431,72.6078167
432,60.60606098
433,72.45649242
434,70.3631649
435,75.83681965
436,74.14966011
437,73.32214737
438,76.46648026
439,74.15540504
440,67.73398972
441,75.82530975
442,71.2903223
443,74.93234062
444,77.84011173
445,77.79720306
446,75.13477135
447,74.10477448
448,72.35142136
449,75.43682766
450,78.56145287
451,77.75862026
452,76.24831295
453,79.64134979
